image,points in model,number of points total,distance threshold,number of iterations,Model number threshold (T),iteration num where best estimate changed,number of colinear,inliers found (add four to this number for total points),avg ssd,results,,
tracking2/3.jpg,4,186,5,2000,15,1070,60,40,,good,,
tracking2/3.jpg,4,186,5,2000,15,1292,42,42,,good,,
tracking2/3.jpg,4,186,5,2000,15,401,54,45,,good,,
tracking2/4.jpg,4,300,5,2000,15,1222,29,154,,medium,,
tracking2/4.jpg,4,300,5,2000,15,1146,24,145,,medium to good,,
tracking2/4.jpg,4,300,5,2000,15,981,27,146,,medium to good,,
tracking2/14.jpg,4,479,5,2000,15,1054,14,195,,good,,
tracking2/14.jpg,4,479,5,2000,15,279,26,190,,good,,
tracking2/14.jpg,4,479,5,2000,15,98,20,196,,good,,
tracking2/15.jpg,4,457,5,2000,15,1087,17,173,,medium to good,,
tracking2/15.jpg,4,457,5,2000,15,952,17,186,,medium to good,,
tracking2/15.jpg,4,457,5,2000,15,1183,21,184,,medium to good,,
test/45.jpg,4,133,5,2000,15,840,81,23,,medium,,
test/45.jpg,4,133,5,2000,15,466,72,13,,bad,,
test/45.jpg,4,133,5,2000,15,1021,82,10,,no homography found,,Note: OpenCV could find homography
test/45.jpg,4,133,5,2000,15,944,72,21,,bad,,
test/45.jpg,4,133,5,2000,15,1,78,15,,bad,,
test/45.jpg,4,133,5,2000,15,1079,77,9,,no homography found,,
test/90.jpg,4,148,5,2000,15,47,78,26,,bad,,
test/90.jpg,4,148,5,2000,15,757,77,23,,bad,,
test/90.jpg,4,148,5,2000,15,140,67,25,,bad,,
test/90.jpg,4,148,5,2000,15,687,65,32,,good,,
,,,,,,,,,,,,
changing edgeThreshold and patchSize to 25 for ORB_create,,,,,(prev parameters were 27),,,,,,,
test/90.jpg,4,207,5,2000,15,1122,43,26,,medium,,
test/90.jpg,4,207,5,2000,15,84,50,28,,bad,,
test/90.jpg,4,207,5,2000,15,1174,45,34,,good,,
test/90.jpg,4,207,5,2000,15,1354,47,25,,bad,,
test/90.jpg,4,207,3.5,2000,15,276,49,20,,bad,,
test/90.jpg,4,207,3.5,2000,15,487,52,28,,medium,,
test/90.jpg,4,207,3.5,2000,15,738,54,25,,bad to medium,,
,,,,,,,,,,,,
changing edgeThreshold and patchSize to 22 for ORB_create,,,,,,,,,,,,
test/90.jpg,4,278,5,2000,15,530,38,55,,good,,
test/90.jpg,4,278,5,2000,15,316,34,51,0.975,medium to good,,
test/90.jpg,4,278,5,2000,15,1603,42,23,1.015,bad,,
test/90.jpg,4,278,5,2000,15,384,35,23,0.55,medium to good,,
test/90.jpg,4,278,5,2000,15,1489,42,43,0.75,bad tto medium,,
,,,,,,,,,,,,
changing edgeThreshold and patchSize to 20 for ORB_create,,,,,,,,,,,,
test/90.jpg,4,334,5,2000,15,472,29,73,0.892,good,,
test/90.jpg,4,334,5,2000,15,981,27,85,0.747,good,,
test/90.jpg,4,334,5,2000,15,1088,43,63,0.639,medium to good,,
test/45.jpg,4,313,5,2000,15,1324,29,39,0.777,medium  ,,
test/45.jpg,4,313,5,2000,15,804,25,54,0.813,good,,
test/45.jpg,4,313,5,2000,15,546,21,61,0.799,good,,
test/135.jpg,4,331,5,2000,15,1414,26,43,1.161,bad,,
test/135.jpg,4,331,5,2000,15,886,25,55,1.032,medium,,
test/135.jpg,4,331,5,2000,15,1317,23,52,0.99,good,,
,,,,,,,,,,,,
patchSize to 20 for ORB_create,,,,,,,,,,,,
test/135.jpg,4,331,3,2000,15,730,32,18,1.598,bad,,
test/135.jpg,4,331,3,2000,15,398,34,29,0.917,bad,,
test/135.jpg,4,331,3,2000,15,219,27,47,0.71,medium,,
test/135.jpg,4,331,2,2000,15,1208,35,26,0.477,medium,,
test/135.jpg,4,331,2,2000,15,1128,28,28,0.675,bad,,
test/225.jpg,4,355,2,2000,15,612,28,65,0.49,good,,
test/225.jpg,4,355,2,2000,15,352,33,41,0.64,bad,,
test/225.jpg,4,355,2,2000,15,803,29,57,0.49,good,,
test/315.jpg,4,326,2,2000,15,1559,31,35,0.418,good,,
test/315.jpg,4,326,2,2000,15,1241,35,50,0.59,good,,
test/180.jpg,4,309,2,2000,15,779,33,26,0.46,bad,,
test/180.jpg,4,309,2,2000,15,1203,33,20,0.46,medium to good,,
test/180.jpg,4,309,2,2000,15,1794,28,38,0.4,medium,,
